"","gene_name","kmeans.cluster.group","hclust.cluster.group"
"1","A2M",5,1
"2","ACAD11",7,2
"3","ACTN4",2,3
"4","ACYP2",5,1
"5","AKAP12",2,3
"6","ALDH1A2",2,3
"7","ALDH1L2",4,2
"8","ALDH4A1",5,1
"9","ALKBH2",7,4
"10","AMOTL1",1,4
"11","ANXA2",2,3
"12","ANXA3",2,3
"13","ARHGEF7",5,1
"14","ASS1",2,3
"15","ATL3",7,4
"16","ATP5SL",5,1
"17","B3GAT3",1,4
"18","B4GAT1",7,4
"19","BCR",1,4
"20","BID",5,3
"21","BLVRB",5,3
"22","BRSK2",7,4
"23","C10ORF35",5,3
"24","C8ORF33",2,3
"25","CA2",3,5
"26","CA8",5,3
"27","CAMKV",1,4
"28","CAV1",5,3
"29","CCDC66",1,4
"30","CD9",2,3
"31","CDC123",1,4
"32","CDC16",5,1
"33","CDKN2AIPNL",2,3
"34","CEBPG",5,3
"35","CHAMP1",5,1
"36","CHMP2A",2,3
"37","CKMT1A",1,4
"38","CLGN",5,1
"39","CLTCL1",5,1
"40","COA4",7,4
"41","CPPED1",4,5
"42","CRABP2",4,2
"43","CRMP1",4,2
"44","CTH",4,2
"45","CUL4A",5,3
"46","CYBA",6,6
"47","DDAH1",5,3
"48","DDB2",1,4
"49","DECR2",7,4
"50","DEPDC7",7,4
"51","DGKA",2,3
"52","DIRAS1",1,4
"53","DNAJC3",5,3
"54","DOCK1",5,1
"55","DPP3",7,4
"56","DYNC1LI2",5,1
"57","ECE2",1,4
"58","ECH1",5,3
"59","EEF1A2",4,2
"60","EIF4A2",7,4
"61","EML2",5,3
"62","ENO2",2,3
"63","ETHE1",7,4
"64","F5GYJ5",7,4
"65","FABP5",7,4
"66","FADS2",7,2
"67","FAIM",1,4
"68","FAM107B",7,2
"69","FAM120C",5,1
"70","FAM129A",4,2
"71","FAM160B1",5,1
"72","FAM195A",7,2
"73","FAM84B",5,1
"74","FBN2",2,3
"75","FER",4,2
"76","FKBP10",7,4
"77","FKRP",2,3
"78","FLRT3",7,4
"79","FTL",5,3
"80","GAN",5,1
"81","GCDH",1,4
"82","GFM1",7,4
"83","GIGYF1",5,1
"84","GNAO1",5,1
"85","H1F0",7,2
"86","HLTF",1,4
"87","HMGN2",5,3
"88","HMMR",1,4
"89","HMOX2",7,4
"90","HSPA2",2,3
"91","HSPBP1",5,1
"92","IGF2BP2",1,4
"93","ING1",5,1
"94","JUP",2,3
"95","KCTD17",1,4
"96","KCTD5",1,4
"97","KDELC2",1,4
"98","KEAP1",1,4
"99","KIF15",1,4
"100","KIF1A",2,3
"101","L1RE1",5,3
"102","LAMP1",5,1
"103","LDHC",7,4
"104","LGALS3",5,1
"105","LGALS3BP",5,1
"106","LHPP",2,3
"107","LMOD1",5,3
"108","LSR",2,3
"109","LUC7L",1,4
"110","MAGEB2",1,4
"111","MAOA",5,1
"112","MAP7",2,3
"113","METAP2",5,1
"114","MGST1",3,5
"115","MICU1",5,3
"116","MLF1",1,4
"117","MRE11A",1,4
"118","MYADM",2,3
"119","MYH14",5,1
"120","NAPRT",6,6
"121","NAT6",1,4
"122","NAV1",1,4
"123","NDRG1",5,1
"124","NEBL",4,2
"125","NECTIN2",5,3
"126","NEFL",5,3
"127","NEFM",6,6
"128","NES",7,4
"129","NME4",7,2
"130","NMRAL1",3,5
"131","NQO1",6,6
"132","NSRP1",5,1
"133","NSUN6",7,4
"134","NUDT15",1,4
"135","NUP210",2,3
"136","OCLN",2,3
"137","OSGEPL1",1,4
"138","OXCT1",4,2
"139","PAG1",7,4
"140","PARP4",1,4
"141","PAWR",2,3
"142","PCK2",4,2
"143","PKP1",2,3
"144","PLA2G4A",3,5
"145","PLEKHO1",1,4
"146","PLK1",7,4
"147","PNKP",2,3
"148","PNMAL1",5,3
"149","PPP1R12C",5,1
"150","PPP2R5A",1,4
"151","PRKACB",5,3
"152","PRMT1",2,3
"153","PRR5",1,4
"154","PRTFDC1",7,2
"155","PTBP2",2,3
"156","PTRF",5,1
"157","QDPR",2,3
"158","QPRT",1,4
"159","RAB32",7,2
"160","RAD18",1,4
"161","RBP1",7,4
"162","RDH10",1,4
"163","RNASEH2B",1,4
"164","ROR2",5,3
"165","RPL22L1",3,5
"166","RTKN",7,4
"167","S100A10",2,3
"168","SAC3D1",4,2
"169","SAE1",5,3
"170","SARS2",5,3
"171","SCAF1",5,3
"172","SERPINB1",7,4
"173","SGPL1",4,7
"174","SHQ1",1,4
"175","SLC12A6",5,3
"176","SLC27A2",2,3
"177","SLITRK5",1,4
"178","SLTM",5,1
"179","SMARCA1",5,3
"180","SNAI2",1,4
"181","SNX17",1,4
"182","SPG20",1,4
"183","SPINT2",2,3
"184","STUB1",7,4
"185","SULT1A1",2,3
"186","SYK",5,3
"187","TBC1D24",7,2
"188","TCEAL3",6,6
"189","TDRKH",5,3
"190","TFAM",2,3
"191","TGFB1",5,1
"192","THNSL1",1,4
"193","TOMM40",2,3
"194","TP73",5,1
"195","TPP2",5,1
"196","TSPAN3",1,4
"197","TSR3",7,4
"198","TTF2",1,4
"199","TTR",6,6
"200","TUBGCP3",5,1
"201","TXNDC11",7,4
"202","TXNL4A",1,4
"203","UBA2",5,3
"204","VIM",1,4
"205","WDR62",5,3
"206","ZBTB10",1,4
"207","ZFHX4",1,4
"208","ZIC2",5,1
"209","ZNF22",2,3
"210","ZNF460",5,1
"211","ZNF462",1,4
"212","ZNF536",2,3
